Entity,Code,Year,PPW(kg/person/day),PPP,Total Population
Estonia,EST,2010,0.176,22740.9720038708,1332000.0
Egypt,EGY,2010,0.178,9857.46828190066,82761000.0
Syria,SYR,2010,0.178,,21363000.0
Argentina,ARG,2010,0.183,18712.0630773436,40896000.0
Fiji,FJI,2010,0.189,7352.08836002372,860000.0
Honduras,HND,2010,0.189,3971.18299352727,8317000.0
France,FRA,2010,0.192,36855.8446824064,62880000.0
Marshall Islands,MHL,2010,0.192,3479.15530340683,56000.0
Singapore,SGP,2010,0.194,72115.8395014504,5131000.0
Malaysia,MYS,2010,0.198,21107.2679372523,28208000.0
United Arab Emirates,ARE,2010,0.199,57232.6180757649,8550000.0
Greece,GRC,2010,0.2,28726.0792836873,10888000.0
Comoros,COM,2010,0.201,1412.50268663997,690000.0
Turkey,TUR,2010,0.212,17959.2591065745,72327000.0
Malta,MLT,2010,0.214,28364.7993209208,414000.0
United Kingdom,GBR,2010,0.215,36366.9831782522,63460000.0
Saint Vincent and the Grenadines,VCT,2010,0.221,9915.57761891195,108000.0
Tonga,TON,2010,0.223,4984.19362951029,104000.0
Mauritius,MUS,2010,0.23,15938.4192089782,1248000.0
Finland,FIN,2010,0.234,39848.1344978775,5366000.0
South Africa,ZAF,2010,0.24,11887.8050343927,51217000.0
Cyprus,CYP,2010,0.248,33941.1380158355,1113000.0
Cocos Islands,CCK,2010,0.252,,
Aruba,ABW,2010,0.252,,102000.0
Uruguay,URY,2010,0.252,17082.4046586765,3359000.0
Guernsey,GGY,2010,0.252,,
Sint Maarten (Dutch part),SXM,2010,0.252,,34000.0
Greenland,GRL,2010,0.252,,57000.0
Bermuda,BMU,2010,0.252,56395.0078003539,65000.0
Taiwan,TWN,2010,0.252,,23188000.0
Gibraltar,GIB,2010,0.252,,34000.0
Turks and Caicos Islands,TCA,2010,0.252,,33000.0
Venezuela,VEN,2010,0.252,16544.9720552598,28440000.0
Anguilla,AIA,2010,0.252,,13000.0
Saint Pierre and Miquelon,SPM,2010,0.252,,6000.0
Guam,GUM,2010,0.252,,159000.0
French Polynesia,PYF,2010,0.252,,266000.0
Faeroe Islands,FRO,2010,0.252,,48000.0
Northern Mariana Islands,MNP,2010,0.252,,54000.0
New Caledonia,NCL,2010,0.252,,254000.0
Croatia,HRV,2010,0.252,20171.9575294867,4328000.0
Curacao,CUW,2010,0.252,,149000.0
Monaco,MCO,2010,0.252,,36000.0
Martinique,MTQ,2010,0.252,,395000.0
Falkland Islands,FLK,2010,0.252,,3000.0
Christmas Island,CXR,2010,0.252,,
Channel Islands,OWID_CIS,2010,0.252,,160000.0
Cayman Islands,CYM,2010,0.252,,57000.0
British Virgin Islands,VGB,2010,0.252,,28000.0
Puerto Rico,PRI,2010,0.252,33924.0540101397,3580000.0
Netherlands Antilles,ANT,2010,0.252,,
Niue,NIU,2010,0.252,,2000.0
Costa Rica,CRI,2010,0.258,12999.9921931442,4577000.0
Portugal,PRT,2010,0.265,27238.4606724422,10596000.0
Spain,ESP,2010,0.277,32507.0939660629,46931000.0
Guatemala,GTM,2010,0.28,6714.0635955465,14630000.0
Norway,NOR,2010,0.28,62350.4107068751,4886000.0
Iceland,ISL,2010,0.281,38978.0055953415,320000.0
Trinidad and Tobago,TTO,2010,0.29,31260.9070471763,1328000.0
Vanuatu,VUT,2010,0.295,2948.03293729183,236000.0
Israel,ISR,2010,0.297,29743.0058727916,7346000.0
Maldives,MDV,2010,0.322,12005.5046183167,366000.0
Grenada,GRD,2010,0.325,11177.9997155594,106000.0
New Zealand,NZL,2010,0.331,32119.2155430773,4370000.0
United States,USA,2010,0.335,49374.1788851797,309011008.0
Sri Lanka,LKA,2010,0.357,8529.57144219453,20262000.0
Seychelles,SYC,2010,0.358,20365.1189331513,91000.0
Macao,MAC,2010,0.368,98184.3365009534,538000.0
Bahamas,BHS,2010,0.39,29221.9911816149,355000.0
Hong Kong,HKG,2010,0.398,48107.7086333279,6966000.0
Netherlands,NLD,2010,0.424,45524.6621425733,16683000.0
Ireland,IRL,2010,0.43,44030.4141487055,4554000.0
Germany,DEU,2010,0.485,40428.7210307617,80827000.0
Saint Lucia,LCA,2010,0.522,12123.8351390475,174000.0
Barbados,BRB,2010,0.57,16417.9624523108,282000.0
Guyana,GUY,2010,0.586,5847.85725499679,749000.0
Saint Kitts and Nevis,KNA,2010,0.654,21412.201453108,49000.0
Antigua and Barbuda,ATG,2010,0.66,19212.7201307541,88000.0
Kuwait,KWT,2010,0.686,75204.145116617,2992000.0
