Entity,Code,Year,PMPW,PPP,Total population,Continent
Guadeloupe,GLP,2010,0.039,,406000.0,
Saint Helena,SHN,2010,0.039,,5000.0,
Turkey,TUR,2010,0.039,17959.2591065745,72327000.0,
Gambia,GMB,2010,0.041,1644.24236613493,1793000.0,
Haiti,HTI,2010,0.044,1502.03271141224,9949000.0,
Angola,AGO,2010,0.045,5897.68284059848,23356000.0,
Guinea-Bissau,GNB,2010,0.046,1400.36329312665,1523000.0,
Montenegro,MNE,2010,0.046,14034.5845640087,624000.0,
Costa Rica,CRI,2010,0.047,12999.9921931442,4577000.0,
Ecuador,ECU,2010,0.047,9352.34423681593,15011000.0,
Indonesia,IDN,2010,0.047,8433.49735678452,241834000.0,
Somalia,SOM,2010,0.047,,12044000.0,
Equatorial Guinea,GNQ,2010,0.047,33723.3658030152,944000.0,
North Korea,PRK,2010,0.048,,24549000.0,
Togo,TGO,2010,0.049,1208.2812098328,6422000.0,
Cape Verde,CPV,2010,0.049,5828.24158804338,493000.0,
Morocco,MAR,2010,0.049,6443.25361319481,32343000.0,
Saint Vincent and the Grenadines,VCT,2010,0.051,9915.57761891195,108000.0,
El Salvador,SLV,2010,0.051,6300.77538777337,6184000.0,
Bulgaria,BGR,2010,0.051,15283.2914751664,7425000.0,
Antigua and Barbuda,ATG,2010,0.051,19212.7201307541,88000.0,
Ukraine,UKR,2010,0.052,7824.49845171438,45792000.0,
Belize,BLZ,2010,0.053,7876.80958597644,322000.0,
Cook Islands,COK,2010,0.054,,18000.0,
Congo,COG,2010,0.054,5186.34478845194,4274000.0,
Saint Kitts and Nevis,KNA,2010,0.054,21412.201453108,49000.0,
Cambodia,KHM,2010,0.058,2522.92682475402,14312000.0,
Bosnia and Herzegovina,BIH,2010,0.061,9720.34217718095,3705000.0,
Philippines,PHL,2010,0.062,5596.83728794962,93967000.0,
Grenada,GRD,2010,0.064,11177.9997155594,106000.0,
Nicaragua,NIC,2010,0.066,4028.71208738128,5824000.0,
Myanmar,MMR,2010,0.066,3721.21144009279,50601000.0,
Iraq,IRQ,2010,0.067,12717.5975271684,29742000.0,
Liberia,LBR,2010,0.072,699.653721510599,3891000.0,
Iran,IRN,2010,0.074,17942.8328426143,73763000.0,
Djibouti,DJI,2010,0.076,,840000.0,
Yemen,YEM,2010,0.077,4478.7435991429,23155000.0,
Honduras,HND,2010,0.079,3971.18299352727,8317000.0,
Sudan,SDN,2010,0.083,3366.09626107549,34545000.0,
Samoa,WSM,2010,0.084,5399.89309631838,186000.0,
Palau,PLW,2010,0.084,11846.5739334318,18000.0,
Micronesia (country),FSM,2010,0.085,3297.65693360804,103000.0,
Sao Tome and Principe,STP,2010,0.085,2641.51394847294,180000.0,
Nigeria,NGA,2010,0.085,5150.15881822763,158503008.0,
Tokelau,TKL,2010,0.086,,1000.0,
Norfolk Island,NFK,2010,0.086,,,
Jordan,JOR,2010,0.086,9472.76832624669,7262000.0,
Senegal,SEN,2010,0.086,2183.99505141766,12678000.0,
Algeria,DZA,2010,0.086,12870.6026985154,35977000.0,
Cote d'Ivoire,CIV,2010,0.086,2690.25800198952,20533000.0,
Kiribati,KIR,2010,0.088,1731.53862650466,103000.0,
Tunisia,TUN,2010,0.088,10436.3655998628,10635000.0,
Pakistan,PAK,2010,0.09,4283.60731163635,179424992.0,
Solomon Islands,SLB,2010,0.09,1871.36935209356,528000.0,
Papua New Guinea,PNG,2010,0.09,3191.58041028301,7311000.0,
Vietnam,VNM,2010,0.09,4408.16861192198,87968000.0,
China,CHN,2010,0.092,9525.81848339164,1368811008.0,
Namibia,NAM,2010,0.097,8460.84736812378,2119000.0,
Nauru,NRU,2010,0.099,6592.43683574598,10000.0,
Guatemala,GTM,2010,0.105,6714.0635955465,14630000.0,
Tuvalu,TUV,2010,0.108,2986.44985588888,11000.0,
Thailand,THA,2010,0.108,13486.5624149548,67195000.0,
Malaysia,MYS,2010,0.112,21107.2679372523,28208000.0,
Saint Lucia,LCA,2010,0.113,12123.8351390475,174000.0,
Syria,SYR,2010,0.119,,21363000.0,
Mauritius,MUS,2010,0.122,15938.4192089782,1248000.0,
Egypt,EGY,2010,0.122,9857.46828190066,82761000.0,
South Africa,ZAF,2010,0.134,11887.8050343927,51217000.0,
Seychelles,SYC,2010,0.139,20365.1189331513,91000.0,
Marshall Islands,MHL,2010,0.15,3479.15530340683,56000.0,
Fiji,FJI,2010,0.151,7352.08836002372,860000.0,
Comoros,COM,2010,0.169,1412.50268663997,690000.0,
Tonga,TON,2010,0.176,4984.19362951029,104000.0,
Trinidad and Tobago,TTO,2010,0.19,31260.9070471763,1328000.0,
Maldives,MDV,2010,0.22,12005.5046183167,366000.0,
Guyana,GUY,2010,0.224,5847.85725499679,749000.0,
Vanuatu,VUT,2010,0.245,2948.03293729183,236000.0,
Sri Lanka,LKA,2010,0.299,8529.57144219453,20262000.0,
